Reaction test v3
type    A+B+C
number  250

max value       65536
unit    us

test    A       B       C
0       3       26      48
1       5       27      47
2       8       30      52
3       8       28      50
4       29      49      7
5       46      4       26
6       51      7       29
7       5       27      47
8       51      9       29
9       47      5       27
10      52      10      30
11      25      45      3
12      46      5       26
13      45      3       25
14      29      51      9
15      47      5       25
16      51      9       31
17      52      10      30
18      5       27      47
19      29      49      7
20      47      5       25
21      45      3       25
22      50      9       30
23      25      47      5
24      28      50      8
25      46      4       26
26      49      5       27
27      5       25      47
28      6       28      48
29      10      30      52
30      51      9       29
31      6       28      50
32      31      51      9
33      45      3       25
34      27      49      7
35      7       29      49
36      27      49      5
37      9       31      52
38      5       25      47
39      50      8       30
40      25      45      5
41      52      10      30
42      48      5       27
43      29      49      7
44      32      52      11
45      9       30      52
46      8       30      52
47      5       25      47
48      5       25      47
49      47      5       27
50      49      5       27
51      47      5       27
52      47      5       25
53      45      3       25
54      9       31      51
55      25      47      5
56      9       30      52
57      50      9       30
58      29      49      7
59      6       28      50
60      9       29      51
61      3       24      46
62      31      53      11
63      47      5       27
64      29      49      7
65      11      31      52
66      48      7       28
67      51      9       31
68      25      45      3
69      31      53      11
70      49      7       29
71      27      49      7
72      32      52      10
73      9       31      51
74      30      50      9
75      24      46      4
76      49      7       29
77      7       29      49
78      29      51      9
79      9       31      51
80      31      53      11
81      5       31      53
82      32      52      10
83      31      52      11
84      3       25      47
85      48      6       28
86      9       30      52
87      53      11      31
88      5       25      47
89      10      30      52
90      51      7       29
91      50      9       29
92      8       30      52
93      51      9       29
94      49      7       29
95      7       29      49
96      30      50      9
97      47      5       27
98      26      48      6
99      50      9       30
100     27      49      7
101     3       25      47
102     8       30      50
103     53      11      31
104     53      11      31
105     47      5       27
106     30      50      9
107     27      49      7
108     47      5       27
109     24      46      4
110     7       29      51
111     30      50      8
112     27      47      5
113     5       27      47
114     49      5       27
115     6       28      50
116     8       30      50
117     48      6       28
118     3       25      45
119     9       29      51
120     5       25      47
121     25      47      3
122     5       27      47
123     3       25      45
124     49      7       27
125     28      48      7
126     45      3       25
127     7       29      51
128     53      11      33
129     44      3       24
130     50      8       30
131     28      48      7
132     47      5       27
133     10      30      52
134     7       29      49
135     25      45      3
136     25      47      5
137     47      5       25
138     31      52      11
139     53      11      31
140     47      5       27
141     25      47      5
142     53      11      33
143     51      9       31
144     48      6       26
145     32      54      6
146     6       28      50
147     47      3       25
148     29      49      7
149     24      44      3
150     31      52      11
151     48      7       28
152     11      31      53
153     45      3       25
154     50      8       28
155     9       29      51
156     30      54      9
157     45      3       25
158     52      10      30
159     26      48      6
160     29      49      7
161     7       27      49
162     31      53      11
163     29      51      9
164     3       25      47
165     27      47      5
166     26      46      5
167     29      49      7
168     49      7       29
169     30      52      8
170     7       29      51
171     27      49      7
172     48      6       26
173     31      51      5
174     45      3       25
175     8       28      50
176     47      5       27
177     3       25      47
178     53      9       31
179     5       25      47
180     6       28      50
181     26      48      6
182     5       25      46
183     29      51      9
184     25      45      3
185     3       25      45
186     25      47      3
187     29      51      9
188     31      51      9
189     7       29      49
190     5       25      47
191     30      50      8
192     30      52      10
193     52      10      32
194     11      31      53
195     29      49      7
196     52      9       30
197     31      53      11
198     28      48      6
199     3       25      47
200     10      30      52
201     24      46      4
202     25      45      3
203     7       27      49
204     9       29      51
205     5       27      47
206     50      8       30
207     27      47      5
208     27      47      5
209     28      48      6
210     46      4       26
211     10      30      52
212     10      30      52
213     46      4       26
214     8       28      50
215     29      51      9
216     5       26      48
217     3       25      45
218     48      6       26
219     25      45      3
220     31      53      11
221     27      49      7
222     28      48      6
223     47      5       27
224     52      10      30
225     5       27      47
226     27      48      7
227     53      11      31
228     50      9       30
229     50      5       26
230     3       24      46
231     9       29      51
232     45      3       25
233     5       25      47
234     26      46      4
235     50      7       29
236     29      50      9
237     28      50      8
238     27      47      5
239     51      9       29
240     7       29      54
241     9       31      53
242     53      11      33
243     30      50      9
244     50      6       28
245     53      11      33
246     7       29      49
247     11      31      53
248     5       27      47
249     27      47      5

