Reaction test v3
type    A+B+C
number  250

max value       65536
unit    us

test    A       B       C
0       54      10      32
1       5       26      48
2       52      10      30
3       45      3       25
4       29      50      7
5       9       29      51
6       47      5       27
7       7       27      49
8       44      3       24
9       9       29      51
10      25      45      3
11      50      9       30
12      25      47      5
13      27      49      7
14      9       31      51
15      9       31      51
16      11      31      52
17      44      3       24
18      49      7       29
19      31      53      11
20      50      6       28
21      5       27      49
22      29      49      7
23      29      49      7
24      11      31      53
25      49      7       29
26      33      53      11
27      7       27      48
28      28      50      8
29      28      48      7
30      27      49      7
31      29      49      7
32      52      8       30
33      49      7       29
34      51      7       29
35      49      7       27
36      11      31      53
37      45      3       25
38      9       31      51
39      28      50      6
40      51      9       29
41      25      47      5
42      49      7       29
43      11      31      52
44      52      10      32
45      29      51      9
46      26      48      6
47      31      53      11
48      50      8       28
49      52      11      31
50      26      48      6
51      9       31      51
52      52      9       31
53      10      30      52
54      47      5       25
55      11      31      53
56      52      8       30
57      52      10      30
58      7       29      51
59      9       31      53
60      31      51      9
61      27      47      5
62      9       29      51
63      51      9       31
64      9       31      53
65      3       25      47
66      30      52      8
67      9       31      51
68      8       30      50
69      51      9       31
70      52      10      30
71      53      11      33
72      9       29      51
73      5       27      47
74      9       33      55
75      28      48      7
76      52      10      32
77      47      5       27
78      29      49      7
79      30      52      10
80      47      5       25
81      27      49      7
82      7       28      48
83      31      52      11
84      30      50      8
85      9       29      51
86      29      49      7
87      5       27      47
88      8       30      52
89      29      51      9
90      26      48      6
91      27      47      5
92      47      5       25
93      31      51      9
94      25      45      3
95      6       32      52
96      48      6       28
97      26      46      4
98      27      48      5
99      7       29      49
100     3       25      45
101     47      5       25
102     30      52      10
103     5       25      47
104     7       29      49
105     29      49      5
106     9       29      50
107     26      48      6
108     11      31      52
109     31      51      9
110     27      49      5
111     25      47      5
112     33      53      11
113     8       28      50
114     48      6       28
115     5       26      46
116     49      7       27
117     52      9       31
118     9       29      51
119     25      46      5
120     31      53      11
121     31      51      9
122     49      5       27
123     7       29      51
124     7       27      49
125     5       27      48
126     27      47      5
127     3       25      46
128     48      6       28
129     3       25      45
130     28      50      8
131     27      47      5
132     50      9       30
133     35      57      13
134     10      30      52
135     25      47      5
136     53      11      31
137     30      50      8
138     52      10      32
139     47      5       25
140     47      3       25
141     9       29      51
142     44      3       24
143     29      49      7
144     6       26      48
145     47      5       25
146     30      52      8
147     53      11      33
148     52      11      31
149     45      3       25
150     29      49      7
151     27      48      7
152     52      9       31
153     50      8       30
154     27      47      5
155     50      8       30
156     6       26      48
157     3       25      45
158     29      51      9
159     25      47      3
160     45      3       25
161     28      48      6
162     25      47      3
163     30      50      8
164     49      5       27
165     31      52      11
166     46      5       25
167     45      3       25
168     5       25      47
169     52      8       30
170     47      5       27
171     50      8       30
172     46      5       26
173     51      9       31
174     47      5       27
175     25      47      5
176     3       25      45
177     25      45      3
178     30      50      8
179     25      46      3
180     7       27      49
181     10      30      52
182     29      49      7
183     50      9       30
184     9       31      52
185     7       27      49
186     50      9       30
187     7       27      49
188     49      5       27
189     52      10      30
190     45      3       25
191     29      49      7
192     25      47      5
193     29      50      9
194     7       27      49
195     51      9       29
196     28      50      8
197     50      7       29
198     53      11      33
199     7       27      49
200     7       27      49
201     47      3       25
202     49      7       29
203     50      8       30
204     51      7       29
205     9       29      51
206     47      3       25
207     7       27      49
208     27      49      7
209     27      49      7
210     8       30      50
211     49      5       27
212     46      3       25
213     9       29      51
214     53      11      31
215     5       27      47
216     3       24      46
217     31      52      9
218     27      49      7
219     29      51      9
220     27      49      7
221     49      7       29
222     47      5       27
223     49      7       27
224     49      5       27
225     5       25      47
226     31      53      9
227     7       27      49
228     29      50      7
229     30      52      8
230     5       25      47
231     29      51      7
232     9       31      53
233     29      51      9
234     25      45      3
235     29      49      7
236     25      45      3
237     8       30      52
238     50      8       28
239     47      3       25
240     32      52      11
241     4       26      48
242     31      53      11
243     5       25      47
244     27      47      5
245     9       31      53
246     25      47      5
247     3       25      47
248     49      7       29
249     46      5       26

