Reaction test v3
type    A+B+C
number  250

max value       65536
unit    us

test    A       B       C
0       170     201     223
1       875     903     925
2       783     807     825
3       622     644     664
4       738     765     787
5       751     779     799
6       376     396     414
7       412     432     450
8       496     523     545
9       687     715     735
10      254     274     293
11      605     632     652
12      324     342     360
13      359     377     395
14      702     724     742
15      102     130     151
16      224     252     272
17      644     671     693
18      656     674     692
19      99      119     137
20      1025    12      30
21      438     466     488
22      464     488     506
23      172     200     220
24      343     370     392
25      24      52      73
26      384     402     422
27      333     360     382
28      265     293     315
29      87      115     135
30      269     296     318
31      391     419     441
32      655     683     705
33      990     1012    6
34      42      61      79
35      609     631     649
36      810     837     859
37      113     141     163
38      67      85      105
39      181     209     231
40      279     299     317
41      423     451     473
42      37      63      84
43      785     812     834
44      73      91      109
45      855     876     898
46      644     664     686
47      61      81      100
48      55      73      93
49      562     589     611
50      337     364     386
51      170     198     219
52      732     752     770
53      451     469     487
54      910     932     954
55      800     820     838
56      264     293     313
57      408     427     445
58      687     716     736
59      185     206     225
60      836     854     872
61      605     633     654
62      224     246     268
63      311     338     360
64      217     239     261
65      136     162     184
66      198     225     247
67      180     200     218
68      95      115     133
69      821     843     865
70      644     664     682
71      843     864     886
72      697     725     745
73      513     535     553
74      109     133     151
75      907     925     949
76      283     310     330
77      633     657     677
78      483     506     528
79      520     540     564
80      645     672     694
81      206     224     244
82      648     675     695
83      663     689     722
84      971     993     1017
85      907     933     951
86      948     968     986
87      119     139     157
88      310     338     367
89      993     5       25
90      50      70      88
91      367     402     424
92      813     840     860
93      837     867     887
94      185     207     229
95      894     916     938
96      586     608     628
97      31      49      67
98      609     644     666
99      616     653     675
100     148     179     197
101     838     860     881
102     162     180     198
103     543     571     593
104     697     724     746
105     196     218     240
106     368     396     418
107     183     211     233
108     295     323     345
109     376     404     426
110     423     441     459
111     845     871     893
112     820     840     858
113     384     406     428
114     554     576     598
115     705     725     743
116     24      42      62
117     164     182     201
118     611     633     656
119     54      72      90
120     996     1016    1034
121     152     179     199
122     856     884     902
123     148     175     197
124     713     741     761
125     395     415     433
126     957     981     1006
127     648     672     692
128     697     721     745
129     667     690     712
130     269     291     309
131     747     771     789
132     153     173     191
133     39      66      86
134     815     833     851
135     503     525     547
136     309     336     358
137     402     426     444
138     522     548     570
139     327     351     371
140     644     668     690
141     88      111     133
142     262     284     302
143     848     866     886
144     565     593     615
145     174     201     223
146     937     957     977
147     580     608     630
148     153     171     190
149     969     991     1013
150     464     483     501
151     565     583     601
152     943     964     986
153     450     470     488
154     635     655     673
155     271     293     311
156     734     754     772
157     586     608     630
158     126     146     164
159     205     229     249
160     224     252     273
161     181     199     217
162     230     253     277
163     802     824     842
164     991     1009    1027
165     682     704     722
166     530     552     574
167     406     433     455
168     913     940     962
169     252     280     302
170     674     702     724
171     734     762     784
172     725     747     765
173     928     951     973
174     264     292     313
175     697     726     746
176     241     259     277
177     533     553     572
178     309     336     358
179     732     751     769
180     843     863     881
181     202     220     238
182     269     297     318
183     563     583     603
184     164     192     213
185     312     340     362
186     180     207     229
187     895     923     944
188     918     946     968
189     271     298     318
190     944     962     980
191     7       29      49
192     88      115     137
193     603     623     641
194     409     437     459
195     582     615     637
196     593     621     641
197     598     619     641
198     10      29      47
199     471     499     521
200     338     360     378
201     288     312     330
202     511     539     561
203     659     681     699
204     265     284     304
205     559     578     596
206     552     580     602
207     569     595     617
208     561     589     611
209     952     979     1001
210     728     750     772
211     697     715     733
212     80      108     129
213     935     962     984
214     479     505     527
215     908     928     946
216     350     368     386
217     408     436     457
218     489     507     525
219     528     556     577
220     4       28      46
221     402     429     451
222     325     353     375
223     399     425     446
224     284     308     328
225     196     218     236
226     168     192     214
227     877     895     913
228     738     765     785
229     361     379     397
230     125     152     172
231     731     751     769
232     850     876     898
233     901     928     950
234     299     321     343
235     656     676     694
236     402     430     452
237     886     914     935
238     339     365     387
239     60      87      109
240     179     207     227
241     625     645     663
242     777     803     825
243     850     872     892
244     416     434     452
245     40      62      80
246     873     895     913
247     944     966     988
248     590     616     638
249     925     945     963


