Reaction test v3
type    A+B+C
number  250

max value       65536
unit    us

test    A       B       C
0       6       32      56
1       5       29      55
2       9       33      56
3       58      11      35
4       30      54      6
5       11      36      60
6       29      54      5
7       3       27      52
8       32      56      6
9       54      7       30
10      37      60      11
11      53      5       29
12      35      58      11
13      59      12      36
14      32      56      8
15      3       26      50
16      12      36      60
17      8       34      58
18      9       32      58
19      12      64      88
20      7       31      56
21      30      54      7
22      60      10      34
23      54      7       31
24      4       28      52
25      9       32      56
26      9       35      58
27      9       33      58
28      60      13      37
29      10      34      58
30      11      35      58
31      5       31      54
32      8       32      56
33      30      54      6
34      56      9       32
35      57      9       33
36      33      56      7
37      58      11      35
38      30      54      6
39      36      62      12
40      12      36      60
41      5       28      52
42      3       27      51
43      60      8       34
44      14      38      62
45      58      9       34
46      36      60      12
47      30      54      7
48      7       31      56
49      29      53      5
50      31      54      7
51      36      62      12
52      3       29      52
53      11      35      58
54      56      6       32
55      33      56      9
56      36      61      12
57      7       31      54
58      32      58      8
59      36      60      13
60      5       29      52
61      52      5       28
62      33      58      9
63      34      58      10
64      32      56      8
65      13      37      60
66      31      54      5
67      60      12      36
68      3       29      52
69      60      11      36
70      14      38      62
71      60      12      36
72      29      53      5
73      53      3       29
74      60      12      36
75      60      12      36
76      60      12      36
77      35      60      11
78      27      52      3
79      28      52      5
80      5       29      52
81      7       30      54
82      36      60      13
83      53      3       27
84      54      5       30
85      36      61      12
86      32      58      9
87      29      54      5
88      35      58      11
89      30      56      6
90      53      3       29
91      60      10      36
92      54      7       30
93      60      12      36
94      9       33      56
95      12      36      59
96      29      52      5
97      60      10      34
98      53      5       29
99      33      58      9
100     60      11      36
101     32      56      8
102     32      56      9
103     12      38      61
104     31      55      7
105     27      52      3
106     27      50      3
107     12      36      60
108     62      13      36
109     62      13      38
110     33      57      9
111     38      61      14
112     14      38      62
113     58      9       34
114     5       29      54
115     54      5       31
116     56      9       33
117     36      60      10
118     34      58      10
119     38      61      14
120     54      6       30
121     32      56      8
122     30      54      7
123     31      54      7
124     60      10      36
125     10      34      58
126     3       30      58
127     28      52      4
128     58      10      34
129     10      34      58
130     30      54      6
131     54      5       29
132     60      11      36
133     33      57      9
134     60      10      36
135     13      38      62
136     60      13      36
137     56      9       32
138     33      56      7
139     7       32      56
140     36      62      12
141     8       32      56
142     13      38      62
143     60      12      36
144     37      60      13
145     13      38      62
146     59      10      36
147     5       29      53
148     32      56      9
149     56      9       32
150     58      10      34
151     33      56      9
152     62      13      38
153     27      51      3
154     36      60      11
155     60      13      36
156     5       29      52
157     9       32      58
158     36      61      12
159     5       29      53
160     56      8       32
161     29      52      5
162     38      62      14
163     37      60      11
164     52      5       28
165     56      7       30
166     7       32      56
167     60      10      36
168     7       30      54
169     32      56      8
170     52      5       29
171     52      5       29
172     28      52      3
173     29      53      5
174     35      60      11
175     9       34      58
176     33      57      9
177     7       31      55
178     53      5       29
179     62      13      38
180     58      10      34
181     27      52      3
182     3       27      52
183     34      58      8
184     11      36      60
185     52      3       28
186     12      36      60
187     60      11      36
188     38      61      14
189     58      11      35
190     13      37      62
191     31      55      7
192     53      3       29
193     36      62      12
194     12      36      62
195     12      38      61
196     59      10      34
197     56      9       33
198     62      13      38
199     54      6       30
200     32      58      9
201     5       28      54
202     26      50      3
203     30      54      4
204     58      10      34
205     5       29      53
206     30      56      6
207     3       28      52
208     56      7       33
209     9       33      56
210     3       28      52
211     6       30      54
212     10      34      58
213     3       29      52
214     58      10      34
215     12      38      62
216     34      58      9
217     56      8       32
218     57      9       33
219     52      5       29
220     82      107     43
221     6       30      56
222     29      53      5
223     58      11      35
224     32      56      9
225     37      60      13
226     54      5       28
227     6       30      54
228     11      34      58
229     34      59      10
230     64      5       29
231     59      12      36
232     52      3       29
233     5       29      55
234     58      10      34
235     29      53      5
236     35      60      11
237     32      101     9
238     30      54      7
239     38      62      12
240     36      60      11
241     14      38      62
242     28      52      5
243     30      54      5
244     29      62      3
245     10      34      58
246     36      60      12
247     27      50      3
248     50      3       26
249     58      11      34
