Reaction test v3
type    A+B+C
number  250

max value       65536
unit    us

test    A       B       C
0       63      12      40
1       54      5       30
2       36      59      12
3       62      12      38
4       58      9       34
5       13      36      60
6       32      56      6
7       3       27      52
8       10      34      58
9       7       31      71
10      38      13      62
11      32      8       56
12      36      12      60
13      5       55      29
14      38      14      62
15      35      11      58
16      3       52      29
17      8       56      32
18      8       56      32
19      62      38      12
20      54      30      6
21      29      5       52
22      3       51      27
23      34      10      58
24      30      6       54
25      38      12      62
26      36      12      59
27      29      3       53
28      52      28      5
29      10      59      36
30      56      32      9
31      60      36      13
32      30      7       56
33      38      14      62
34      34      11      60
35      58      35      11
36      30      6       54
37      38      14      61
38      29      5       55
39      57      33      9
40      54      30      4
41      9       58      34
42      5       29      53
43      38      62      15
44      53      3       29
45      5       28      54
46      54      5       30
47      56      9       32
48      35      60      11
49      12      36      60
50      52      5       28
51      62      13      38
52      53      3       29
53      7       33      57
54      60      12      36
55      11      34      60
56      34      58      9
57      52      4       28
58      56      7       30
59      38      62      12
60      56      8       32
61      6       30      56
62      60      11      37
63      32      56      8
64      61      12      38
65      8       34      59
66      32      56      9
67      54      5       30
68      34      58      10
69      5       28      52
70      29      52      5
71      56      9       33
72      3       29      52
73      35      58      11
74      58      9       35
75      36      60      12
76      56      7       33
77      36      60      12
78      38      62      12
79      11      36      60
80      3       28      52
81      30      54      6
82      7       31      56
83      7       31      55
84      62      12      38
85      60      10      36
86      66      17      40
87      37      62      9
88      10      36      59
89      35      58      11
90      35      60      11
91      29      54      5
92      31      54      7
93      32      56      9
94      35      58      9
95      9       34      58
96      29      53      5
97      34      58      10
98      54      7       30
99      29      52      5
100     53      3       27
101     61      12      38
102     54      7       30
103     5       31      55
104     54      4       28
105     36      59      12
106     60      11      34
107     9       33      56
108     9       34      58
109     36      60      12
110     8       32      58
111     13      38      62
112     7       30      54
113     54      5       31
114     4       30      54
115     12      36      60
116     32      56      8
117     32      56      4
118     12      36      59
119     54      6       30
120     5       29      55
121     27      52      3
122     54      7       31
123     58      11      34
124     7       30      56
125     29      53      5
126     36      60      12
127     3       27      52
128     37      60      13
129     10      36      60
130     5       29      54
131     75      11      48
132     28      54      5
133     33      56      9
134     58      8       34
135     34      58      10
136     8       32      65
137     13      38      62
138     52      4       28
139     7       31      55
140     52      5       29
141     7       30      54
142     5       29      53
143     11      34      58
144     12      36      61
145     54      5       29
146     9       33      58
147     38      62      14
148     9       33      56
149     5       29      53
150     38      62      15
151     13      36      60
152     62      12      38
153     54      5       30
154     8       34      58
155     5       31      55
156     5       29      54
157     7       30      56
158     9       34      58
159     60      12      36
160     53      3       29
161     11      35      58
162     60      11      36
163     7       33      57
164     54      3       29
165     29      52      5
166     3       29      53
167     38      62      12
168     62      12      38
169     56      7       31
170     30      54      6
171     53      3       29
172     13      36      60
173     9       33      56
174     30      54      6
175     12      38      62
176     56      6       32
177     12      38      61
178     30      54      7
179     35      58      9
180     58      11      35
181     13      37      62
182     55      5       31
183     62      12      38
184     7       31      54
185     54      4       30
186     52      3       28
187     3       27      52
188     35      58      11
189     11      36      60
190     11      35      58
191     58      9       32
192     12      38      62
193     38      61      12
194     34      58      8
195     7       31      56
196     36      60      13
197     34      58      11
198     35      58      11
199     12      38      61
200     35      60      11
201     52      3       29
202     12      36      59
203     32      56      9
204     9       32      56
205     8       32      56
206     7       30      54
207     7       31      56
208     56      8       32
209     54      5       31
210     32      58      8
211     52      3       29
212     5       31      55
213     56      7       33
214     52      5       28
215     34      58      11
216     5       29      53
217     5       28      54
218     54      6       30
219     7       31      54
220     36      60      13
221     34      58      10
222     60      13      36
223     62      13      38
224     10      36      60
225     36      60      12
226     10      36      60
227     34      58      11
228     3       26      52
229     60      10      36
230     54      5       30
231     55      5       31
232     56      7       31
233     55      3       29
234     60      12      36
235     32      56      8
236     12      36      61
237     34      60      7
238     38      62      15
239     36      60      12
240     5       29      54
241     5       28      54
242     56      9       32
243     36      60      10
244     33      58      9
245     36      62      12
246     33      56      9
247     56      9       32
248     10      34      58
249     8       34      58

