Reaction test v3
type    A+B+C
number  250

max value       65536
unit    us

test    A       B       C
0       34      56      8
1       51      5       29
2       57      11      35
3       54      8       32
4       6       28      52
5       7       31      54
6       58      11      34
7       34      58      10
8       32      56      10
9       58      12      36
10      11      32      58
11      6       30      56
12      51      3       27
13      30      54      6
14      53      7       31
15      28      52      6
16      9       35      58
17      28      52      6
18      52      7       30
19      54      7       31
20      5       29      54
21      34      58      12
22      32      56      10
23      52      5       28
24      12      34      58
25      51      5       27
26      27      50      5
27      52      5       28
28      53      7       31
29      26      50      3
30      26      50      3
31      31      55      7
32      3       27      51
33      27      49      3
34      34      58      12
35      53      5       29
36      3       27      50
37      27      53      3
38      29      53      5
39      55      7       33
40      30      54      6
41      58      11      34
42      34      58      10
43      51      5       29
44      54      9       32
45      7       31      55
46      58      10      36
47      10      34      58
48      51      5       27
49      9       33      54
50      8       34      58
51      35      58      13
52      36      60      12
53      54      7       31
54      10      32      56
55      5       31      53
56      27      51      5
57      3       27      51
58      5       29      52
59      58      10      34
60      56      8       32
61      10      32      56
62      34      58      12
63      51      5       29
64      9       31      54
65      10      34      60
66      52      5       30
67      9       32      56
68      7       31      54
69      7       31      55
70      8       32      56
71      7       31      55
72      9       30      54
73      10      32      56
74      31      55      7
75      27      50      3
76      11      34      58
77      34      58      11
78      5       27      51
79      52      6       30
80      52      5       28
81      29      53      5
82      29      50      5
83      31      55      7
84      58      10      34
85      33      55      9
86      58      12      36
87      26      50      5
88      7       29      53
89      58      9       33
90      32      56      11
91      7       31      53
92      8       30      54
93      56      10      34
94      29      52      7
95      32      56      10
96      31      54      7
97      51      5       27
98      3       27      51
99      58      11      35
100     56      9       33
101     53      5       29
102     33      56      9
103     29      53      7
104     56      8       32
105     52      5       30
106     7       29      55
107     5       29      51
108     58      10      34
109     5       28      52
110     54      6       30
111     58      10      34
112     34      56      10
113     30      52      6
114     7       32      54
115     52      5       28
116     32      54      8
117     56      8       34
118     54      7       31
119     8       32      56
120     58      12      36
121     3       27      51
122     7       30      54
123     56      10      34
124     9       33      55
125     33      55      9
126     7       31      54
127     9       32      56
128     11      35      58
129     9       32      54
130     26      50      4
131     34      56      10
132     5       29      51
133     55      7       31
134     3       27      50
135     53      7       31
136     31      55      9
137     56      7       31
138     28      52      6
139     3       27      49
140     11      34      58
141     31      55      7
142     53      5       29
143     31      54      7
144     11      32      56
145     5       28      50
146     5       29      53
147     7       33      54
148     52      5       28
149     6       30      58
150     58      11      33
151     4       26      52
152     32      56      11
153     56      10      34
154     6       30      54
155     27      51      3
156     55      7       31
157     8       30      56
158     30      54      8
159     11      33      56
160     28      52      5
161     7       29      53
162     10      34      56
163     10      34      58
164     32      54      8
165     34      58      13
166     56      8       32
167     5       29      50
168     8       32      56
169     12      36      58
170     5       27      51
171     31      55      7
172     26      52      4
173     32      54      8
174     12      36      60
175     27      50      3
176     5       31      53
177     10      32      56
178     54      4       32
179     3       27      50
180     9       34      56
181     34      60      12
182     50      5       28
183     52      7       30
184     8       36      60
185     30      54      7
186     32      58      10
187     56      10      32
188     3       27      51
189     7       32      54
190     30      52      6
191     58      12      36
192     55      7       31
193     51      3       27
194     59      10      36
195     57      9       33
196     54      9       30
197     33      56      11
198     12      34      58
199     32      54      9
200     9       33      57
201     30      54      6
202     34      58      11
203     6       28      52
204     60      11      35
205     32      56      9
206     34      58      13
207     29      53      7
208     56      8       32
209     35      57      11
210     53      7       31
211     30      54      9
212     58      9       33
213     54      7       31
214     54      9       30
215     58      11      34
216     7       30      52
217     7       31      54
218     55      9       33
219     60      6       32
220     32      56      10
221     57      9       33
222     32      54      8
223     54      8       32
224     5       29      52
225     33      57      11
226     27      51      5
227     53      7       29
228     32      56      9
229     56      9       34
230     3       27      51
231     52      6       30
232     54      7       30
233     95      8       32
234     8       32      56
235     35      58      11
236     54      6       28
237     34      58      11
238     56      9       35
239     8       32      54
240     30      52      7
241     29      55      5
242     34      58      12
243     56      10      32
244     31      55      7
245     58      11      37
246     52      4       28
247     53      5       29
248     11      35      58
249     5       28      54


